kod_wyjazdu,count,procent_odrzuconych
OSL,1360,36.397058823529411765
FCO,1260,32.619047619047619048
MUC,1023,31.769305962854349951
DUB,519,28.709055876685934489
MXP,564,28.368794326241134752
ZRH,988,28.137651821862348178
EWR,637,27.943485086342229199
BLL,630,27.301587301587301587
LGW,797,27.227101631116687578
AMS,1958,26.302349336057201226
ARN,1617,25.479282622139764997
CPH,4230,24.869976359338061466
CDG,1819,23.144584936778449698
HEL,1339,22.927557879014189694
DUS,582,20.790378006872852234
BRU,972,19.341563786008230453
MAD,1271,18.568056648308418568
VIE,782,18.158567774936061381
LIS,2432,13.610197368421052632
HHN,38541,12.73189590306426922
OPO,885,12.429378531073446328
AUH,784,9.566326530612244898
LHR,7482,9.47607591553060679
MAN,1848,5.357142857142857143
PRG,1314,4.794520547945205479
JFK,8539,4.637545380021079752
KEF,1664,3.665865384615384615
GRU,1179,3.647158608990670059
FRA,30631,3.617250497861643433
KRK,1708,3.51288056206088993
WAW,5524,3.005068790731354091
GDN,4070,2.530712530712530713
TXL,6987,2.418777730070130242
LAX,5873,2.179465349906351098
BHX,878,1.822323462414578588
BCN,18266,1.439833570568268915
INN,843,0.474495848161328588
POZ,4011,0.398903016704063824
MJV,807,0.371747211895910781
OUL,4513,0.354531353866607578
BZG,1399,0.142959256611865618
SZZ,1374,0.072780203784570597
